timesteps_total,done,info,episode_reward_mean,episode_len_mean,episodes_total,mean_accuracy,mean_validation_accuracy,mean_loss,neg_mean_loss,experiment_id,training_iteration,timesteps_this_iter,time_this_iter_s,time_total_s,pid,date,timestamp,hostname,node_ip,config
2144323,,"{'kl_divergence': 0.16596809, 'kl_coefficient': 0.037500000000000006, 'rollouts_time': 46.45787858963013, 'shuffle_time': 5.417328596115112, 'load_time': 2.5786783695220947, 'sgd_time': 50.304009199142456, 'sample_throughput': 795.1652489893766}",0.0,4000.0,,,,,,f84da0ce5fd845c98be98852eca61270,22,168000,104.8843822479248,2425.8569667339325,17559,2018-04-09_16-30-24,1523305824,praveen-HP-Z840-Workstation,192.168.1.5,"{'gamma': 0.99, 'horizon': 4000, 'use_gae': True, 'lambda': 0.95, 'kl_coeff': 0.2, 'num_sgd_iter': 30, 'sgd_stepsize': 5e-05, 'devices': ['/gpu:0', '/gpu:1', '/gpu:2', '/gpu:3', '/gpu:4', '/gpu:5', '/gpu:6', 'gpu:7'], 'tf_session_args': {'device_count': {'CPU': 4}, 'log_device_placement': False, 'allow_soft_placement': True, 'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 2, 'gpu_options': {'allow_growth': True}}, 'rollout_batchsize': 1, 'sgd_batchsize': 4096, 'vf_loss_coeff': 1.0, 'entropy_coeff': 0.0, 'clip_param': 0.1, 'kl_target': 0.01, 'model': {'free_log_std': False}, 'observation_filter': 'MeanStdFilter', 'extra_frameskip': 1, 'timesteps_per_batch': 40000, 'min_steps_per_task': 100, 'num_workers': 32, 'worker_resources': {'num_cpus': 1}, 'full_trace_nth_sgd_batch': -1, 'full_trace_data_load': False, 'tf_debug_iteration': -1, 'tf_debug_inf_or_nan': False, 'write_logs': True, 'env_config': {}, 'env': 'sonic_env'}"
2312323,,"{'kl_divergence': 0.0011410569, 'kl_coefficient': 0.018750000000000003, 'rollouts_time': 44.75698971748352, 'shuffle_time': 7.685121059417725, 'load_time': 2.6865062713623047, 'sgd_time': 48.8361713886261, 'sample_throughput': 819.0650262423308}",0.0,4000.0,,,,,,f84da0ce5fd845c98be98852eca61270,23,168000,104.17971634864807,2530.0366830825806,17559,2018-04-09_16-32-09,1523305929,praveen-HP-Z840-Workstation,192.168.1.5,"{'gamma': 0.99, 'horizon': 4000, 'use_gae': True, 'lambda': 0.95, 'kl_coeff': 0.2, 'num_sgd_iter': 30, 'sgd_stepsize': 5e-05, 'devices': ['/gpu:0', '/gpu:1', '/gpu:2', '/gpu:3', '/gpu:4', '/gpu:5', '/gpu:6', 'gpu:7'], 'tf_session_args': {'device_count': {'CPU': 4}, 'log_device_placement': False, 'allow_soft_placement': True, 'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 2, 'gpu_options': {'allow_growth': True}}, 'rollout_batchsize': 1, 'sgd_batchsize': 4096, 'vf_loss_coeff': 1.0, 'entropy_coeff': 0.0, 'clip_param': 0.1, 'kl_target': 0.01, 'model': {'free_log_std': False}, 'observation_filter': 'MeanStdFilter', 'extra_frameskip': 1, 'timesteps_per_batch': 40000, 'min_steps_per_task': 100, 'num_workers': 32, 'worker_resources': {'num_cpus': 1}, 'full_trace_nth_sgd_batch': -1, 'full_trace_data_load': False, 'tf_debug_iteration': -1, 'tf_debug_inf_or_nan': False, 'write_logs': True, 'env_config': {}, 'env': 'sonic_env'}"
2480323,,"{'kl_divergence': 0.0024341808, 'kl_coefficient': 0.009375000000000001, 'rollouts_time': 44.61677289009094, 'shuffle_time': 7.76828145980835, 'load_time': 2.5701277256011963, 'sgd_time': 49.193015575408936, 'sample_throughput': 813.1235609795707}",0.0,4000.0,,,,,,f84da0ce5fd845c98be98852eca61270,24,168000,104.42484331130981,2634.4615263938904,17559,2018-04-09_16-33-54,1523306034,praveen-HP-Z840-Workstation,192.168.1.5,"{'gamma': 0.99, 'horizon': 4000, 'use_gae': True, 'lambda': 0.95, 'kl_coeff': 0.2, 'num_sgd_iter': 30, 'sgd_stepsize': 5e-05, 'devices': ['/gpu:0', '/gpu:1', '/gpu:2', '/gpu:3', '/gpu:4', '/gpu:5', '/gpu:6', 'gpu:7'], 'tf_session_args': {'device_count': {'CPU': 4}, 'log_device_placement': False, 'allow_soft_placement': True, 'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 2, 'gpu_options': {'allow_growth': True}}, 'rollout_batchsize': 1, 'sgd_batchsize': 4096, 'vf_loss_coeff': 1.0, 'entropy_coeff': 0.0, 'clip_param': 0.1, 'kl_target': 0.01, 'model': {'free_log_std': False}, 'observation_filter': 'MeanStdFilter', 'extra_frameskip': 1, 'timesteps_per_batch': 40000, 'min_steps_per_task': 100, 'num_workers': 32, 'worker_resources': {'num_cpus': 1}, 'full_trace_nth_sgd_batch': -1, 'full_trace_data_load': False, 'tf_debug_iteration': -1, 'tf_debug_inf_or_nan': False, 'write_logs': True, 'env_config': {}, 'env': 'sonic_env'}"
2648323,,"{'kl_divergence': 0.0024817102, 'kl_coefficient': 0.004687500000000001, 'rollouts_time': 44.377949953079224, 'shuffle_time': 7.202635049819946, 'load_time': 2.3734333515167236, 'sgd_time': 49.67762351036072, 'sample_throughput': 805.1914961603918}",0.0,4000.0,,,,,,f84da0ce5fd845c98be98852eca61270,25,168000,103.91643047332764,2738.377956867218,17559,2018-04-09_16-35-38,1523306138,praveen-HP-Z840-Workstation,192.168.1.5,"{'gamma': 0.99, 'horizon': 4000, 'use_gae': True, 'lambda': 0.95, 'kl_coeff': 0.2, 'num_sgd_iter': 30, 'sgd_stepsize': 5e-05, 'devices': ['/gpu:0', '/gpu:1', '/gpu:2', '/gpu:3', '/gpu:4', '/gpu:5', '/gpu:6', 'gpu:7'], 'tf_session_args': {'device_count': {'CPU': 4}, 'log_device_placement': False, 'allow_soft_placement': True, 'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 2, 'gpu_options': {'allow_growth': True}}, 'rollout_batchsize': 1, 'sgd_batchsize': 4096, 'vf_loss_coeff': 1.0, 'entropy_coeff': 0.0, 'clip_param': 0.1, 'kl_target': 0.01, 'model': {'free_log_std': False}, 'observation_filter': 'MeanStdFilter', 'extra_frameskip': 1, 'timesteps_per_batch': 40000, 'min_steps_per_task': 100, 'num_workers': 32, 'worker_resources': {'num_cpus': 1}, 'full_trace_nth_sgd_batch': -1, 'full_trace_data_load': False, 'tf_debug_iteration': -1, 'tf_debug_inf_or_nan': False, 'write_logs': True, 'env_config': {}, 'env': 'sonic_env'}"
2816323,,"{'kl_divergence': 0.0020422915, 'kl_coefficient': 0.0023437500000000003, 'rollouts_time': 44.61700654029846, 'shuffle_time': 7.65362286567688, 'load_time': 2.5643203258514404, 'sgd_time': 49.70101809501648, 'sample_throughput': 804.8124874128242}",0.0,4000.0,,,,,,f84da0ce5fd845c98be98852eca61270,26,168000,104.81041812896729,2843.1883749961853,17559,2018-04-09_16-37-22,1523306242,praveen-HP-Z840-Workstation,192.168.1.5,"{'gamma': 0.99, 'horizon': 4000, 'use_gae': True, 'lambda': 0.95, 'kl_coeff': 0.2, 'num_sgd_iter': 30, 'sgd_stepsize': 5e-05, 'devices': ['/gpu:0', '/gpu:1', '/gpu:2', '/gpu:3', '/gpu:4', '/gpu:5', '/gpu:6', 'gpu:7'], 'tf_session_args': {'device_count': {'CPU': 4}, 'log_device_placement': False, 'allow_soft_placement': True, 'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 2, 'gpu_options': {'allow_growth': True}}, 'rollout_batchsize': 1, 'sgd_batchsize': 4096, 'vf_loss_coeff': 1.0, 'entropy_coeff': 0.0, 'clip_param': 0.1, 'kl_target': 0.01, 'model': {'free_log_std': False}, 'observation_filter': 'MeanStdFilter', 'extra_frameskip': 1, 'timesteps_per_batch': 40000, 'min_steps_per_task': 100, 'num_workers': 32, 'worker_resources': {'num_cpus': 1}, 'full_trace_nth_sgd_batch': -1, 'full_trace_data_load': False, 'tf_debug_iteration': -1, 'tf_debug_inf_or_nan': False, 'write_logs': True, 'env_config': {}, 'env': 'sonic_env'}"
2984323,,"{'kl_divergence': 0.001975305, 'kl_coefficient': 0.0011718750000000002, 'rollouts_time': 44.39428901672363, 'shuffle_time': 7.6930296421051025, 'load_time': 3.901144027709961, 'sgd_time': 48.42163133621216, 'sample_throughput': 826.0770836542628}",0.0,4000.0,,,,,,f84da0ce5fd845c98be98852eca61270,27,168000,104.63233613967896,2947.8207111358643,17559,2018-04-09_16-39-07,1523306347,praveen-HP-Z840-Workstation,192.168.1.5,"{'gamma': 0.99, 'horizon': 4000, 'use_gae': True, 'lambda': 0.95, 'kl_coeff': 0.2, 'num_sgd_iter': 30, 'sgd_stepsize': 5e-05, 'devices': ['/gpu:0', '/gpu:1', '/gpu:2', '/gpu:3', '/gpu:4', '/gpu:5', '/gpu:6', 'gpu:7'], 'tf_session_args': {'device_count': {'CPU': 4}, 'log_device_placement': False, 'allow_soft_placement': True, 'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 2, 'gpu_options': {'allow_growth': True}}, 'rollout_batchsize': 1, 'sgd_batchsize': 4096, 'vf_loss_coeff': 1.0, 'entropy_coeff': 0.0, 'clip_param': 0.1, 'kl_target': 0.01, 'model': {'free_log_std': False}, 'observation_filter': 'MeanStdFilter', 'extra_frameskip': 1, 'timesteps_per_batch': 40000, 'min_steps_per_task': 100, 'num_workers': 32, 'worker_resources': {'num_cpus': 1}, 'full_trace_nth_sgd_batch': -1, 'full_trace_data_load': False, 'tf_debug_iteration': -1, 'tf_debug_inf_or_nan': False, 'write_logs': True, 'env_config': {}, 'env': 'sonic_env'}"
3152323,,"{'kl_divergence': 0.0030978972, 'kl_coefficient': 0.0005859375000000001, 'rollouts_time': 44.50573492050171, 'shuffle_time': 8.434915542602539, 'load_time': 3.9812231063842773, 'sgd_time': 50.32708477973938, 'sample_throughput': 794.8006560495861}",0.0,4000.0,,,,,,f84da0ce5fd845c98be98852eca61270,28,168000,107.48132348060608,3055.3020346164703,17559,2018-04-09_16-40-55,1523306455,praveen-HP-Z840-Workstation,192.168.1.5,"{'gamma': 0.99, 'horizon': 4000, 'use_gae': True, 'lambda': 0.95, 'kl_coeff': 0.2, 'num_sgd_iter': 30, 'sgd_stepsize': 5e-05, 'devices': ['/gpu:0', '/gpu:1', '/gpu:2', '/gpu:3', '/gpu:4', '/gpu:5', '/gpu:6', 'gpu:7'], 'tf_session_args': {'device_count': {'CPU': 4}, 'log_device_placement': False, 'allow_soft_placement': True, 'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 2, 'gpu_options': {'allow_growth': True}}, 'rollout_batchsize': 1, 'sgd_batchsize': 4096, 'vf_loss_coeff': 1.0, 'entropy_coeff': 0.0, 'clip_param': 0.1, 'kl_target': 0.01, 'model': {'free_log_std': False}, 'observation_filter': 'MeanStdFilter', 'extra_frameskip': 1, 'timesteps_per_batch': 40000, 'min_steps_per_task': 100, 'num_workers': 32, 'worker_resources': {'num_cpus': 1}, 'full_trace_nth_sgd_batch': -1, 'full_trace_data_load': False, 'tf_debug_iteration': -1, 'tf_debug_inf_or_nan': False, 'write_logs': True, 'env_config': {}, 'env': 'sonic_env'}"
3320323,,"{'kl_divergence': 0.003482535, 'kl_coefficient': 0.00029296875000000004, 'rollouts_time': 44.608317852020264, 'shuffle_time': 8.781385660171509, 'load_time': 4.5363898277282715, 'sgd_time': 50.19370126724243, 'sample_throughput': 796.9127398481953}",0.0,4000.0,,,,,,f84da0ce5fd845c98be98852eca61270,29,168000,108.35956311225891,3163.6615977287292,17559,2018-04-09_16-42-43,1523306563,praveen-HP-Z840-Workstation,192.168.1.5,"{'gamma': 0.99, 'horizon': 4000, 'use_gae': True, 'lambda': 0.95, 'kl_coeff': 0.2, 'num_sgd_iter': 30, 'sgd_stepsize': 5e-05, 'devices': ['/gpu:0', '/gpu:1', '/gpu:2', '/gpu:3', '/gpu:4', '/gpu:5', '/gpu:6', 'gpu:7'], 'tf_session_args': {'device_count': {'CPU': 4}, 'log_device_placement': False, 'allow_soft_placement': True, 'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 2, 'gpu_options': {'allow_growth': True}}, 'rollout_batchsize': 1, 'sgd_batchsize': 4096, 'vf_loss_coeff': 1.0, 'entropy_coeff': 0.0, 'clip_param': 0.1, 'kl_target': 0.01, 'model': {'free_log_std': False}, 'observation_filter': 'MeanStdFilter', 'extra_frameskip': 1, 'timesteps_per_batch': 40000, 'min_steps_per_task': 100, 'num_workers': 32, 'worker_resources': {'num_cpus': 1}, 'full_trace_nth_sgd_batch': -1, 'full_trace_data_load': False, 'tf_debug_iteration': -1, 'tf_debug_inf_or_nan': False, 'write_logs': True, 'env_config': {}, 'env': 'sonic_env'}"
3488323,,"{'kl_divergence': 0.0027441913, 'kl_coefficient': 0.00014648437500000002, 'rollouts_time': 44.3637273311615, 'shuffle_time': 8.811054229736328, 'load_time': 4.1207435131073, 'sgd_time': 50.229705810546875, 'sample_throughput': 796.3415145386156}",0.0,4000.0,,,,,,f84da0ce5fd845c98be98852eca61270,30,168000,107.79172134399414,3271.4533190727234,17559,2018-04-09_16-44-31,1523306671,praveen-HP-Z840-Workstation,192.168.1.5,"{'gamma': 0.99, 'horizon': 4000, 'use_gae': True, 'lambda': 0.95, 'kl_coeff': 0.2, 'num_sgd_iter': 30, 'sgd_stepsize': 5e-05, 'devices': ['/gpu:0', '/gpu:1', '/gpu:2', '/gpu:3', '/gpu:4', '/gpu:5', '/gpu:6', 'gpu:7'], 'tf_session_args': {'device_count': {'CPU': 4}, 'log_device_placement': False, 'allow_soft_placement': True, 'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 2, 'gpu_options': {'allow_growth': True}}, 'rollout_batchsize': 1, 'sgd_batchsize': 4096, 'vf_loss_coeff': 1.0, 'entropy_coeff': 0.0, 'clip_param': 0.1, 'kl_target': 0.01, 'model': {'free_log_std': False}, 'observation_filter': 'MeanStdFilter', 'extra_frameskip': 1, 'timesteps_per_batch': 40000, 'min_steps_per_task': 100, 'num_workers': 32, 'worker_resources': {'num_cpus': 1}, 'full_trace_nth_sgd_batch': -1, 'full_trace_data_load': False, 'tf_debug_iteration': -1, 'tf_debug_inf_or_nan': False, 'write_logs': True, 'env_config': {}, 'env': 'sonic_env'}"
3656323,,"{'kl_divergence': 0.002866969, 'kl_coefficient': 7.324218750000001e-05, 'rollouts_time': 44.83021640777588, 'shuffle_time': 9.72036075592041, 'load_time': 2.9432241916656494, 'sgd_time': 50.356120586395264, 'sample_throughput': 794.3423666120701}",0.0,4000.0,,,,,,f84da0ce5fd845c98be98852eca61270,31,168000,108.14422845840454,3379.597547531128,17559,2018-04-09_16-46-19,1523306779,praveen-HP-Z840-Workstation,192.168.1.5,"{'gamma': 0.99, 'horizon': 4000, 'use_gae': True, 'lambda': 0.95, 'kl_coeff': 0.2, 'num_sgd_iter': 30, 'sgd_stepsize': 5e-05, 'devices': ['/gpu:0', '/gpu:1', '/gpu:2', '/gpu:3', '/gpu:4', '/gpu:5', '/gpu:6', 'gpu:7'], 'tf_session_args': {'device_count': {'CPU': 4}, 'log_device_placement': False, 'allow_soft_placement': True, 'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 2, 'gpu_options': {'allow_growth': True}}, 'rollout_batchsize': 1, 'sgd_batchsize': 4096, 'vf_loss_coeff': 1.0, 'entropy_coeff': 0.0, 'clip_param': 0.1, 'kl_target': 0.01, 'model': {'free_log_std': False}, 'observation_filter': 'MeanStdFilter', 'extra_frameskip': 1, 'timesteps_per_batch': 40000, 'min_steps_per_task': 100, 'num_workers': 32, 'worker_resources': {'num_cpus': 1}, 'full_trace_nth_sgd_batch': -1, 'full_trace_data_load': False, 'tf_debug_iteration': -1, 'tf_debug_inf_or_nan': False, 'write_logs': True, 'env_config': {}, 'env': 'sonic_env'}"
